h;PEL_subproblem_main;mHydr_direct_subproblem_main;mHydr_sell_subproblem_main;mHST_in_subproblem_main;mHST_out_subproblem_main;mHST_subproblem_main;EBESS_subproblem_main;PBESSc_subproblem_main;PBESSd_subproblem_main;Ppurch_subproblem_main;Psell_subproblem_main; PPV_subproblem_main; PWT_subproblem_main 
4602.0000;  21.5151; 431.1648; 500.0000;   0.0000;  68.8352;  53.6938;   0.0000;   0.0000;   0.0000;   2.9272;   0.0000;   0.3293;  18.2586
4603.0000;  22.3511; 447.9170; 500.0000;   0.0000;  52.0830;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;  22.3511
4604.0000;  25.0501; 500.0000; 500.0000;   2.0064;   0.0000;   1.9462;   0.0000;   0.0000;   0.0000;   0.0000;   2.9594;   0.0000;  28.0095
4605.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   5.9175;   0.0000;   0.0000;   0.0000;   0.0000;   3.7904;   0.0000;  28.9447
4606.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;   9.8889;   0.0000;   0.0000;   0.0000;   0.0000;   5.6428;   0.0000;  30.7971
4607.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  13.8603;   0.0000;   0.0000;   0.0000;   0.0000;   6.6577;   0.0000;  31.8120
4608.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  17.8316;   0.0000;   0.0000;   0.0000;   0.0000;   6.3641;   0.0000;  31.5184
4609.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  21.8030;   0.0000;   0.0000;   0.0000;   0.0000;   5.9581;   0.0000;  31.1124
4610.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  25.7743;   0.0000;   0.0000;   0.0000;   0.0000;   5.3926;   0.0000;  30.5469
4611.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  29.7457;   0.0000;   0.0000;   0.0000;   0.0000;   5.6246;   0.0000;  30.7789
4612.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  33.7170;   0.0000;   0.0000;   0.0000;   0.0000;   5.9581;   0.0000;  31.1124
4613.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  37.6884;   0.0000;   0.0000;   0.0000;   0.0000;   5.1570;   0.0000;  30.3113
4614.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  37.6884;   0.0000;   0.0000;   0.0000;   0.0000;   3.9621;   0.0000;  28.9121
4615.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  41.6598;   0.0000;   0.0000;   0.0000;   0.0000;   5.4279;   1.3583;  29.2239
4616.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  45.6311;   0.0000;   0.0000;   0.0000;   0.0000;  14.4173;   7.3826;  32.1890
4617.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  49.6025;   0.0000;   0.0000;   0.0000;   0.0000;  13.5592;   8.8371;  29.8763
4618.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  53.5738;   0.0000;   0.0000;   0.0000;   0.0000;  14.7938;  10.1878;  29.7603
4619.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  53.5738;   0.0000;   0.0000;   0.0000;   0.0000;  16.6997;  12.7376;  28.9121
4620.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  57.5452;   0.0000;   0.0000;   0.0000;   0.0000;  11.7302;   8.9403;  27.9443
4621.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  61.5165;   0.0000;   0.0000;   0.0000;   0.0000;   9.7143;   8.0336;  26.8351
4622.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  65.4879;   0.0000;   0.0000;   0.0000;   0.0000;   7.5565;   7.8078;  24.9030
4623.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  65.4879;   0.0000;   0.0000;   0.0000;   0.0000;   5.2974;   7.7984;  22.4489
4624.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  69.4592;   0.0000;   0.0000;   0.0000;   0.0000;   6.5513;   8.8217;  22.8839
4625.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  73.4306;   0.0000;   0.0000;   0.0000;   0.0000;   3.4355;   5.0461;  23.5437
4626.0000;  23.2711; 466.3550; 500.0000;   0.0000;  33.6450;  38.7450;   0.0000;   0.0000;   0.0000;   0.0000;   0.0000;   0.3401;  22.9311
4627.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  42.7164;   0.0000;   0.0000;   0.0000;   0.0000;   0.3504;   0.0000;  25.5047
4628.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  42.7164;   0.0000;   0.0000;   0.0000;   0.0000;   4.0563;   0.0000;  29.0063
4629.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  46.6877;   0.0000;   0.0000;   0.0000;   0.0000;   5.1026;   0.0000;  30.2569
4630.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  50.6591;   0.0000;   0.0000;   0.0000;   0.0000;   5.9146;   0.0000;  31.0689
4631.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  54.6304;   0.0000;   0.0000;   0.0000;   0.0000;   6.3242;   0.0000;  31.4785
4632.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  54.6304;   0.0000;   0.0000;   0.0000;   0.0000;   6.4560;   0.0000;  31.4060
4633.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  58.6018;   0.0000;   0.0000;   0.0000;   0.0000;   5.5739;   0.0000;  30.7282
4634.0000;  25.1543; 500.0000; 500.0000;   4.0942;   0.0000;  62.5731;   0.0000;   0.0000;   0.0000;   0.0000;   4.7474;   0.0000;  29.9017
4635.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  62.5731;   0.0000;   0.0000;   0.0000;   0.0000;   4.6690;   0.0000;  29.6190
4636.0000;  24.9500; 500.0000; 500.0000;   0.0000;   0.0000;  62.5731;   0.0000;   0.0000;   0.0000;   0.0000;   4.0600;   0.0000;  29.0100
